r,H2O_B1-H2O_B1,H2O_B1-C12_B1,H2O_B1-C12_B2,H2O_B1-C12_B3,H2O_B1-C12_B4,H2O_B1-C4H_B1,H2O_B1-C4H_B2,C12_B1-C12_B1,C12_B1-C12_B2,C12_B1-C12_B3,C12_B1-C12_B4,C12_B1-C4H_B1,C12_B1-C4H_B2,C12_B2-C12_B2,C12_B2-C12_B3,C12_B2-C12_B4,C12_B2-C4H_B1,C12_B2-C4H_B2,C12_B3-C12_B3,C12_B3-C12_B4,C12_B3-C4H_B1,C12_B3-C4H_B2,C12_B4-C12_B4,C12_B4-C4H_B1,C12_B4-C4H_B2,C4H_B1-C4H_B1,C4H_B1-C4H_B2,C4H_B2-C4H_B2
3.55,5.222033014128341,0.0827553160805564,0.10839379610551364,0.07121800006932565,0.08175826407958585,0.9429263209178851,0.9671404409414561,0.0,0.0,5.969492765810876,0.0,0.028487200027730666,0.011394880011092266,0.0,0.0,6.033873837873546,0.031335920030503735,0.0028487200027730664,0.0,5.149346277012522,0.014243600013865333,0.019941040019411466,0.0,0.0085461600083192,0.011394880011092266,0.316524444752548,0.0,0.0
3.6500000000000004,5.0833722879605885,0.13393025104455938,0.1650548868506894,0.10873411729673987,0.11627948355277139,0.9067913375551905,0.9135282717123613,0.0021775948790854825,0.001616864197721039,2.952932979771191,0.0013473868314341992,0.0727588888974447,0.04042160494302483,0.003266392318628224,0.0010779094651473594,3.060723926285927,0.0727588888974447,0.06197979424597141,0.001633196159314112,1.95020769981786,0.05389547325736645,0.05120069959449812,0.0010887974395427413,0.0485059259316298,0.05928502058310309,0.11976771834970248,0.0269477366286838,0.0
3.75,5.173178294488265,0.17615541901006343,0.22517257908242888,0.13990314437320978,0.15994401450696338,0.9509839649456086,0.9139657971826252,0.00979930599089812,0.007914228970017341,3.1235674660697477,0.007914228970017341,0.11743694600670603,0.12509587726801294,0.00979930599089812,0.007148335843886631,3.0145553444504767,0.11488396891960372,0.15062564813903598,0.004126023575114998,6.832021982794648,0.08424824387437606,0.11743694600670603,0.005157529468893747,0.1021190834840922,0.1123309918325014,0.2836641207891475,0.20423816696818717,0.113465648315659
3.8500000000000005,5.14784267557556,0.22452724480232247,0.28665371545150875,0.18262518077772508,0.20297069163359896,1.0766166161233257,1.0499736852406336,0.03669825190453454,0.033666976297219875,7.591782050791797,0.024947471644702495,0.17681217767604673,0.2567409703241227,0.039634112056897305,0.029065015508391256,7.2967721433816255,0.19861093930734017,0.21072136243583653,0.026912051396658664,6.08500320514428,0.14048090829055768,0.15985758529615185,0.02446550126968969,0.1550134160447533,0.17923426230174602,0.16147230837995394,0.33909184759790245,0.05382410279331798
3.95,5.132053372054055,0.286705380726001,0.34469073862564165,0.21215277771217728,0.24068525540882585,1.1056335107451414,1.1689111830562577,0.10366149440131354,0.09319075376727962,1.8023782080471635,0.07386230113406607,0.2623147143079003,0.3129368521567934,0.09808329739317112,0.07202149612137906,1.7407112401221487,0.2876257832323469,0.3290438960178048,0.06879776310042335,0.5294615417740998,0.255411695510324,0.19558553259799588,0.06972746260178041,0.2208966015224424,0.22779962032001871,0.409067780597108,0.32214087722022516,0.2556673628731925
4.050000000000001,5.158382988805021,0.3203286652847885,0.4070045460178095,0.26911109939709427,0.27830399583847526,1.289194286660305,1.2913830715273005,0.19898044245413482,0.20355699263057964,0.20421362809067828,0.1661287714049569,0.376470997123213,0.4443233280000712,0.2303751344857872,0.1624078371310646,0.1915186758621045,0.4027364155271581,0.45307846746805286,0.17996675573073972,0.1796992375803289,0.33269529978330453,0.3283177300493137,0.17908239820872135,0.2976747419113777,0.32175137544832744,0.535036300821115,0.3283177300493262,0.19455865484404183
4.15,5.268323644067753,0.3547950374005244,0.4533955383937372,0.29111120430659954,0.31122737417096535,1.3049453196987624,1.4227239308217339,0.3777506540709908,0.3693870777166447,0.31956568292303406,0.315188070828198,0.5378209145084356,0.5357363373204185,0.3756450205477411,0.29225772176000897,0.3110189164521636,0.5836816126448139,0.5815970354567966,0.3141605216688508,0.3260278722058873,0.4231691691674901,0.4669452901158511,0.32889995633159846,0.42733832354352447,0.4231691691674901,0.880154812718377,0.6670647001655015,0.5558872501379224
4.25,5.2261894871319425,0.3910677768080655,0.4972076460916777,0.30261788573838866,0.32716521505772594,1.5602958312290995,1.525512166201699,0.5934805992553964,0.5742286186523513,0.5183759908083532,0.4955181537903468,0.689710386543309,0.7652406306028068,0.6107469495720284,0.47385289957327986,0.47266031677234044,0.6658587305245202,0.7075991285574005,0.540075376183023,0.5074439817997414,0.5625015544431021,0.548588088432142,0.546901607703552,0.548588088432142,0.4770331203757756,0.7950552006263095,0.6360441605010505,0.7508854672581812
4.35,5.219977070432718,0.4183561349078507,0.5202415065384701,0.30442286551457887,0.344361172271088,1.6971408738098386,1.7293950882925297,0.8712279206079275,0.8268462747974663,0.7137667934346187,0.6851174617470516,0.7608200004446565,0.8424041900185224,0.8520632061202916,0.6585551674671881,0.6532427086112154,0.8063553620672793,0.8101499755358312,0.7052614931450008,0.7166127535360327,0.6431869829195475,0.6204193021082361,0.7336252705867018,0.6697492771994108,0.5635001000799575,0.8432474374559769,0.777895761053144,1.3070335280567642
4.45,5.193550777787395,0.41825821970086596,0.5242278466688574,0.31818083033160804,0.3451038236673595,1.77039077389635,1.8410976250811506,1.1339467043157092,1.0607840673904494,0.8767649546915421,0.8820226436257966,0.8756771569809904,0.8883681302705699,1.11673239711195,0.877671452783655,0.8580910939940176,0.9735789509291756,0.8321652485595746,0.9211485663288143,0.8874616321784737,0.8611731875071851,0.6961905347426507,0.9533796096039377,0.663556603426589,0.710694504216456,1.248952926911016,0.7977183210593088,0.4028880409390374
